name, latitude, longitude
"Sandia Peak Ski Area", 35.2070031, -106.4134427
"Breckenridge Ski Resort", 39.4817, 106.0384
"Angel Fire Resort", 36.3867, -105.2722
"Pajarito Mountain Ski Area", 34.9932, -106.7715
"Purgatory Resort", 36.6300, -107.8139
"Red River Ski & Summer Area", 36.7062, -105.4129
"Sipapu Ski & Summer Resort", 36.1542, -105.5483
"Ski Apache", 33.3973, -105.7887
"Ski Santa Fe", 35.796254, -105.802369
"Taos Ski Valley", 36.5960, -105.4545
"Vail Ski Resort", 39.6403, -106.3742
"Wolf Creek Ski Area", 37.4724, -106.7932
"Steamboat Ski Resort", 40.4572, -106.8045